news_date,news_title,news_text_sm,url_in,news_writer,tags_string,news_thumbnail
2021.07.15 17:25,"“번개장터 ‘추천 알고리즘’, 어렵지만 도전해볼 만했죠”",“중고거래는 추천 알고리즘을 짜기가 쉽지 않아요. 상품이 딱 하나라 잘 팔리거나 재고가 넉넉한 상품을 추천할 수가 없죠. 개발 난이도가 높긴 하지만 할 수 있는 일이 무궁무진해요.” 번개장터의 기술을 총괄하고 있는 이동주 최고기술책임자(CTO)의 말이다.번개장터는 2011년 만들어진 국내 최초의 ‘모바일 중고거래’ 서비스다. 회원수는 1000만명 이상 월이용자수(MAU)는 340만명에 달하고 사용자 절반 이상이 1020세대다. 작년 연간거래액은 1조3000억원을 기록해 업계 2위를 차지했다. 취향 기반의 거래를 지향하고 채팅·안,https://www.bloter.net/news/articleView.html?idxno=40719,김인경,"#번개장터,#당근마켓,#중고거래,#중고나라,#중고,#리셀,#브그즈트랩,#이동주,#연종흠,#김현준",https://cdn.bloter.net/news/thumbnail/202107/40719_1_v150.jpg
2021.07.12 16:39,"“평점 낮은 기사, 유료서비스 못 써” 카카오택시 약관 손질 ‘시끌’",카카오모빌리티가 평점이 낮은 택시기사에겐 부가서비스 가입·갱신을 막을 수 있도록 약관을 손질하자 택시기사들이 불만을 터뜨리고 있다. 평점으로 택시기사를 길들이려 한다는 비판이다.12일 카카오모빌리티에 따르면 오는 22일부터 ‘카카오T’ 택시기사용 유료멤버십인 ‘프로 멤버십’에 새로운 약관이 적용된다. 승객이 매긴 평점이 카카오모빌리티의 기준 평점보다 낮으면 앞으로 이 부가서비스의 가입을 막거나 해지할 수 있다는 내용이 골자다.앞서 카카오모빌리티는 지난 3월 월 9만9000원을 내면 각종 배차 혜택을 제공해주는 프로멤버십을 출시했다,https://www.bloter.net/news/articleView.html?idxno=40684,김인경,"#택시,#모빌리티,#별점,#별점평가,#카카오,#카카오모빌리티,#티맵모빌리티,#우티",https://cdn.bloter.net/news/thumbnail/202107/40684_1_v150.jpg
2021.07.12 11:33,"배달원 대신 로봇이 ‘띵동’...배민 ‘딜리타워’, 아파트서 공식 서비스 개시",배달로봇이 아파트 1층에서 물품을 받아 각 세대 현관까지 배달해주는 ‘로봇배송’ 서비스가 국내 최초로 시작됐다.12일 배달의민족 운영사 우아한형제들은 자율배송 로봇이 아파트 등 건물 내부를 누비며 음식 등 물품을 각 세대로 배송하는 ‘딜리타워’ 서비스를 개시했다고 밝혔다. 첫 서비스 지역은 서울 영등포구 주상복합 아파트 ‘포레나 영등포’다.딜리타워는 각 세대 현관 앞으로 물품을 배달하는 자율주행형 실내 배달로봇이다. 사전에 입력된 이동경로에 따라 움직인다. 엘리베이터도 스스로 타고 내린다. 물품 적재 공간은 상·하 2개로 나눠져 있,https://www.bloter.net/news/articleView.html?idxno=40676,김인경,"#배민로봇,#배달의민족,#딜리타워,#배민",https://cdn.bloter.net/news/thumbnail/202107/40676_1_v150.jpg
2021.07.11 18:51,"[SNS에세이]배민 별점·네이버 리뷰, 소비자 권리와 갑질 사이","""제일 어이없었을 때가 배달의민족(이하 배민)으로 주문하면서 리뷰 써주겠다고 서비스 달라고 하길래 음료수 줬더니 별점 1점에 다시 안 시킨다고 리뷰 쓴 경우였어요.네이버 리뷰 안봐요. 향수 좋다고 해서 보면 갑자기 그 향수의 유사품을 홍보하더라고요. 황당했어요.""(이상 트위터 글 발췌)코로나19의 여파로 외부 활동이 위축되면서 온라인에서 음식을 주문하거나 쇼핑을 하는 것은 일상이 됐습니다. 온라인에서는 오프라인처럼 직접 물건을 볼 수가 없죠. 판매자가 게시한 사진이나 동영상을 보고 구매 여부를 판단해야 합니다. 여기에 구매 여부",https://www.bloter.net/news/articleView.html?idxno=40666,박현준,"#배달의민족,#네이버,#쿠팡,#방송통신위원회,#리뷰,#별점",https://cdn.bloter.net/news/thumbnail/202107/40666_1_v150.jpg
2021.07.11 12:00,"악성리뷰·별점테러 피해 막는다…방통위, 정보통신망법 개정 추진",방송통신위원회(이하 방통위)가 악성리뷰와 별점테러로부터 온라인 플랫폼 이용 사업자를 보호하기 위해 정보통신망법 개정을 추진한다. 온라인 플랫폼 이용 사업자란 우아한형제들의 배달 앱 '배달의민족'에 입점한 음식점같은 사업자를 의미한다.방통위는 11일 이같은 내용이 포함된 온라인 플랫폼 이용 사업자 등을 보호하기 위한 5가지 정책 방안을 추진한다고 밝혔다. 최근 코로나19의 확산으로 배달앱‧ 숙박앱 등을 통한 비대면 거래가 증가하면서 리뷰‧별점 등 이용자의 후기나 추천 등이 광고·홍보·마케팅의 주요 수단으로 떠올랐다. 하지만 일부 소비,https://www.bloter.net/news/articleView.html?idxno=40654,박현준,"#방통위,#별점,#리뷰,#쿠팡,#네이버,#배달의민족,#아프리카TV,#웨이브",https://cdn.bloter.net/news/thumbnail/202107/40654_1_v150.jpg
2021.07.10 15:27,"네이버 노조 “최대주주 국민연금, ‘책임자 해임’ 나서달라”",네이버 노동조합이 회사 최대 주주인 국민연금공단에게 최인혁 전(前) 네이버 최고운영책임자(COO)의 네이버파이낸셜·해피빈재단 대표직 해임을 요청하기로 했다. ‘직장 괴롭힘’을 겪던 직원이 스스로 목숨을 끊은 가운데 사건의 책임자인 최 전 COO를 제대로 징계해야 한다는 주장이다.9일 네이버 노조 ‘공동성명’은 성남시 분당구에 위치한 네이버본사 그린팩토리 1층에서 ‘네이버 리부트(REBOOT) 문화제’를 열고 재발방지책 마련을 촉구하며 이같이 밝혔다. 단체행동은 코로나 재확산 여파로 온라인 생중계를 통해 진행됐다. 줌·유튜브를 통합,https://www.bloter.net/news/articleView.html?idxno=40659,김인경,"#네이버,#공동성명,#네이버노조,#노동조합,#스튜어드십코드,#직장괴롭힘",https://cdn.bloter.net/news/thumbnail/202107/40659_1_v150.jpg
2021.07.08 14:41,"네이버, 음성인식에도 ‘하이퍼클로바’ 적용...“정확도 30% 높아져”",네이버가 초대규모(hyperscale) 인공지능(AI) ‘하이퍼클로바’의 딥러닝 기술을 음성인식 엔진에 접목했다고 8일 밝혔다. 추후 이같이 업그레이드된 엔진을 클로바노트·클로바케어콜 등 음성인식 AI 기반의 각종 서비스에 탑재해 편리한 사용자 경험을 제공할 예정이다.네이버에 따르면 전통적으로 딥러닝은 데이터와 데이터를 설명하는 레이블(label)을 쌍으로 학습시키는 ‘지도학습(supervised learning)’ 방식으로 이뤄져왔다. 예를 들면 고양이 이미지와 ‘고양이’라는 설명을 같이 학습시키는 식이다. 음성인식을 개발할 때도,https://www.bloter.net/news/articleView.html?idxno=40629,김인경,"#포털,#네이버,#하이퍼클로바,#초대규모,#AI,#인공지능,#딥러닝",https://cdn.bloter.net/news/thumbnail/202107/40629_1_v150.jpg
2021.07.06 11:52,"“‘최애’ 이름 붙여볼까” 카카오 스피커, 이제 원하는 이름으로 부른다",“철수야 날씨 알려줘.” 카카오미니·미니헥사 등 카카오 스마트스피커를 원하는 이름으로 부를 수 있게 됐다. 6일 카카오엔터프라이즈는 카카오의 스마트 디바이스에 전용 알고리즘을 적용해 ‘호출 명령어’ 설정 기능을 추가했다고 밝혔다.기존의 호출 명령어인 ‘헤이카카오’ 이외에 좋아하는 연예인 친근한 캐릭터 등 원하는 이름으로 호출 명령어를 자유롭게 설정할 수 있다. 카카오미니를 비롯해 미니헥사·헤이카카오 앱에서도 가능하다. 카카오엔터프라이즈 관계자는 “음성호출 명령어를 자유롭게 설정할 수 있는 기능을 탑재한 스마트스피커는 유일하다”고,https://www.bloter.net/news/articleView.html?idxno=40590,김인경,"#카카오,#카카오엔터프라이즈,#헥사,#미니,#카카오미니,#카카오헥사,#AI,#인공지능,#알고리즘,#스마트스피커,#헤이카카오",https://cdn.bloter.net/news/thumbnail/202107/40590_1_v150.jpg
2021.07.05 16:44,"‘흑역사’ 싸이월드 재개장, 오늘 오후 6시→8월로 연기",싸이월드에 남아 있는 사진·동영상 개수를 5일 늦은 오후부터 확인할 수 있게 된다.싸이월드 운영사인 싸이월드제트에 따르면 이날 오후 6시부터 싸이월드 홈페이지에 로그인하면 복원된 사진·동영상·댓글·배경음악(BGM)·도토리 등의 수량을 확인할 수 있다. 이메일로 신청 받던 ‘아이디 찾기’도 홈페이지 실명인증을 통해 이용이 가능해진다.이 회사는 기존 싸이월드 서버에 저장돼 있던 사진 180억장과 동영상 1억5000만개를 복구하고 있다고 밝히고 있다. 저장된 사진·동영상을 고해상도로 변환하는 작업까지 진행 중이라는 설명이다. 지난 2일에,https://www.bloter.net/news/articleView.html?idxno=40580,김인경,"#싸이월드,#싸이,#도토리",https://cdn.bloter.net/news/thumbnail/202107/40580_1_v150.jpg
2021.07.05 13:16,"“로봇·사람 공존하는 건물” 네이버, ‘제2사옥’ 특허 출원...세계 최초",네이버가 세계 최초 로봇 친화형 건물 ‘제2사옥’에 대한 특허 22건을 출원했다고 5일 밝혔다.네이버는 경기도 성남시 분당구에 위치한 사옥 그린팩토리 옆에 제2사옥을 건축 중이다. 로봇·자율주행·인공지능(AI)·클라우드 등 네이버의 미래 기술이 융합되고 연결되는 ‘테크 컨버전스(Technological Convergence)빌딩’을 지향하고 있다. 연내 완공 예정이다.‘로봇’ 전용 통로에 ‘비서’ 역할까지...제2사옥 어떤 모습제2사옥은 클라우드 로봇 시스템으로 제어되는 로봇이 공존하는 건물로 꾸려진다. 로봇 전용 엘리베이터·통로·,https://www.bloter.net/news/articleView.html?idxno=40578,김인경,"#네이버,#신사옥,#제2사옥,#네이버랩스,#인공지능,#AI,#브레인리스,#로봇,#로봇친화빌딩",https://cdn.bloter.net/news/thumbnail/202107/40578_1_v150.jpg
