"idx","news_date","news_title","news_text_sm","url_in","news_writer","tags_string","thumb_addr"
108,"2023.02.23 11:15",삼성 美 디시네트워크와 5G 초도망 개통 완료,삼성전자가 미국 제4 이동통신사업자 디시네트워크(DISH Network)와 5G 초도망 개통을 완료했다고 23일 전했다.삼성전자는 앞서 지난해 5월 디시네트워크의 5G 가상화 기지국 등 대규모 통신장비 공급사로 선정된 바 있다. 양사는 이후 9개월 만에 현지 성능 시험을 완료하고 최근 초도망 개통에 성공했다. 삼성전자는 디시네트워크의 신속한 초도망 개통 및 전국망 확대를 위해 차세대 5G 가상화 기지국과 다양한 주파수 대역을 지원하는 5G 라디오(radio) 제품 등을 공급했다.삼성전자 네트워크사업부 전략마케팅팀장 이준희 부사장은,https://www.itbiznews.com//news/articleView.html?idxno=91073&page=6&total=2335,김소현,"#5G,#네트워크,#가상화,#기지국,#디시네트워크,#삼성전자",https://www.cwn.kr./thumbnail/202302/91073_86734_821_v150.jpg
109,"2023.02.22 15:30",효성인포메이션 통합 AI 플랫폼 전략 제시 ‘DX센터 시즌3’ 개소,효성인포메이션시스템이 AI 서비스 시대에 빠르게 대응하고 데이터 주도적인(Data-Driven) 디지털전환(DT)을 위한 로드맵을 제시하는 ‘DX(Digital Transformation)센터 시즌3’를 오픈했다고 22일 밝혔다.데이터가 핵심가치로 의사결정을 지원하기 위해서는 IT워크로드 아키텍처 기술 역량까지 IT환경 변화에 맞춰 고려되고 기업의 모든 의사결정 및 프로세스에 데이터가 포함될 수 있도록 데이터 주도적인(Data-Driven) 방향으로 혁신돼야 한다.효성인포메이션시스템은 DT 체험공간(DX센터)을 활용해 기업의 성,https://www.itbiznews.com//news/articleView.html?idxno=90941&page=6&total=2335,최태우,"#네트워크,#인프라,#DT프로젝트,#체험관,#DX센터,#효성인포메이션",https://www.cwn.kr./thumbnail/202302/90941_86604_29_v150.jpg
110,"2023.02.22 10:41",KT 이루온과 5G 특화망 핵심 장비 개발,KT가 5G 장비 개발사 이루온과 함께 5G 특화망의 핵심기술을 담은 장비 개발에 성공했다. 중소벤처기업부의 민관공동기술개발사업 공동 투자형 과제의 일환으로 KT와 중기부가 개발비를 투자하고 이루온이 개발사로 참여해 이뤄낸 성과다. 5G 특화망은 제한된 지역에서 특정 목적을 위해 구축해 운영하는 기업용 5G 네트워크망으로 공용 5G망보다 빠르고 안정적이며 초고속·저지연·초연결 특성을 바탕으로 가상현실(VR) 증강현실(AR) 원격제어 자율주행 등 대용량 데이터 기반의 실시간 서비스 구현이 가능하다.양사 협력을 통해 개발된 ‘,https://www.itbiznews.com//news/articleView.html?idxno=90847&page=6&total=2335,오현식,"#5G 특화망,#KT,#이루온",https://www.cwn.kr./thumbnail/202302/90847_86592_4840_v150.jpg
111,"2023.02.22 09:02",ETRI 5G 체감 속도 높이는 스몰셀 SW 개발,한국전자통신연구원(ETRI)이 5G 밀리미터파 대역에서 다운링크 2.2Gbps를 제공하는 5G 스몰셀 상용 소프트웨어(SW) 기술을 개발했다고 밝혔다.세계 최고 수준의 5G 소형 기지국을 구현할 수 있는 기술로 상용단말 접속시험까지 완료해 즉시 상용화도 가능해 국내 5G 스몰셀 중소기업의 경쟁력 강화에 기여할 것으로 기대된다. 3~30GHz의 고대역 주파수 ‘밀리미터파’를 이용하는 5G 통신은 3G/4G보다 고속 통신을 제공하지만 저주파 대역에 비해 전송 거리가 짧고 작은 장애물에도 쉽게 통신이 끊어져 기지국을 더 많이 구축해,https://www.itbiznews.com//news/articleView.html?idxno=90841&page=6&total=2335,오현식,"#5G,#5G 스몰셀,#한국전자통신연구원,#ETRI",https://www.cwn.kr./thumbnail/202302/90841_86536_3435_v150.jpg
112,"2023.02.21 15:00","6G 시대 2년 앞당긴다…과기정통부 “2026년 프리6G 시연”",주요 선진국들이 6G 상용화 시기를 앞당기는 노력에 나서면서 우리나라도 6G 상용화 시기를 단축하는 방안이 추진된다. 기술 연구개발을 기존 2025년 착수에서 2년 앞당겨 추진한다는 것이다.21일 과학기술정보통신부가 공개한 ‘K-네트워크 2030 전략’에 따르면 프리6G 시연과 상용화를 앞당겨 차세대 네트워크 경쟁에서 앞서 나가겠다는 것이 핵심 내용이다. 네트워크는 디지털 혁신의 핵심으로 네트워크 경쟁력은 곧 산업의 혁신을 좌우하는 척도로 평가받고 있다. OTT·화상회의·온라인 교육 등 비대면 서비스는 물론 메타버스 자율주행,https://www.itbiznews.com//news/articleView.html?idxno=90780&page=6&total=2335,오현식,"#K-네트워크 2030,#과기정통부,#6G,#프리6G,#와이파이7",https://www.cwn.kr./thumbnail/202302/90780_86500_5145_v150.jpg
113,"2023.02.21 14:19",CJ올리브네트웍스 아모레퍼시픽 디지털 스튜디오 구축사업 수주,CJ올리브네트웍스가 아모레퍼시픽의 디지털 콘텐츠 스튜디오 구축사업을 수주했다. 이번 사업은 2017년 아모레퍼시픽 본사에 구축한 영상·촬영 스튜디오인 ‘디지털팩토리’ 구축 프로젝트 완료 후 추가 수주한 건으로 오는 10월까지 진행된다.이번 프로젝트는 디지털팩토리 공간 외 개별적으로 운영하던 촬영 공간을 하나로 통합하고 전문적인 제작 환경을 구축해 수준 높은 콘텐츠 구현이 가능하도록 구축하는 것이 목표다총 12개의 스튜디오로 구성되는 디지털팩토리2는 라이브 방송에 적합한 최적의 환경을 제공하는 전문 스튜디오 공간 및 방송용 콘텐츠 제,https://www.itbiznews.com//news/articleView.html?idxno=90808&page=6&total=2335,김소현,"#네트워크,#시스템통합,#디지털 콘텐츠,#아모레퍼시픽,#CJ올리브네트웍스",https://www.cwn.kr./thumbnail/202302/90808_86501_827_v150.jpg
114,"2023.02.21 13:44",스파이런트 차세대 이더넷 테스트용 소형 M1 어플라이언스 출시,스파이런트커뮤니케이션이 차세대 네트워크 애플리케이션에서 이더넷과 차량용 이더넷을 테스트할 수 있는 소형 M1 어플라이언스를 출시했다고 밝혔다.새로운 스파이런트 M1 어플라이언스는 제품 테스트 라이프사이클 동안 소프트웨어정의네트워크(SDN)와 네트워크기능가상화(NFV) 기술을 검증하고 새로운 네트워킹 제품의 성능·벤치마크 테스트 환경을 제공한다.최대 8개의 네트워크인터페이스카드(NIC) 슬롯을 통해 이전 버전보다 높은 신뢰성과 밀도를 제공하며 다양한 NIC 조합을 지원하므로 특정 테스트 요구에 맞는 어플라이언스 키트를 만들 수 있,https://www.itbiznews.com//news/articleView.html?idxno=90715&page=6&total=2335,오현식,"#스파이런트,#차량 네트워크,#네트워크 테스트,#M1 어플라이언스,#차량용 이더넷",https://www.cwn.kr./thumbnail/202302/90715_86391_5712_v150.jpg
115,"2023.02.17 16:17",kt cs 실적발표 지난해 매출 1조295억원 역대 최대,kt cs가 지난해 전년비 6.6% 증가한 1조295억원의 매출(별도 기준 매출 5916억원)을 기록했다고 공시했다. 영업익도 15.6% 증가한 243억원(별도기준 162억원)을 기록했다.성장을 이뤄낸 동력은 인공지능(AI)이다. AI컨택센터(AICC) 비즈니스와 브랜드 중심의 유통사업으로의 확장 전략이 주효했다고 사측은 밝혔다. kt cs의 지난해 컨택센터 사업은 1405억원의 매출을 기록해 전년 1030억원 대비 36.4%의 고속 성장을 이뤄냈다.kt cs는 AI 외부 전문가 영입 내부 핵심인재 재배치를 통해 AI 기반,https://www.itbiznews.com//news/articleView.html?idxno=90612&page=6&total=2335,오현식,"#kt cs,#AICC,#AI컨택센터",https://www.cwn.kr./thumbnail/202302/90612_86278_1245_v150.jpg
116,"2023.02.17 14:00",SKT·인텔 데이터센터 전력 절감 기술 개발…“트래픽 따른 최적화 기술”,SK텔레콤이 인텔과 전력 감축 및 탄소 절감을 위한 5G망용 클라우드 데이터센터 전력 절감 기술 개발에 성공했다고 밝혔다.양사가 협력해 연구개발한 ‘DPS(Dynamic Power Saving)’은 5G망용 데이터센터 중 클라우드 방식으로 가상화한 서버에서 사용되는 주요 부품의 소모 전력을 실시간으로 고객의 트래픽 추이에 따라 조정해주는 기술이다.이동통신망을 구성하는 데이터센터는 다량의 클라우드 방식 가상화 서버로 구성되며 5G 이동통신의 고객 데이터 트래픽 처리를 담당한다. 기존 가상화 서버는 트래픽 양과 관계 없이 항상 최대 성,https://www.itbiznews.com//news/articleView.html?idxno=90586&page=6&total=2335,김소현,"#5G,#네트워크,#데이터센터,#트래픽 최적화,#탄소저감,#전력효율성,#인텔,#SK텔레콤",https://www.cwn.kr./thumbnail/202302/90586_86251_954_v150.jpg
117,"2023.02.16 09:23",통신3사 통신비 부담 완화에 정책에 동참…“내달 데이터 추가로 제공”,SK텔레콤 KT LG유플러스 등 통신3사가 가계 통신비 부담 완화를 위해 한 달간 모바일 데이터를 추가로 제공하기로 했다. 물가인상에 따른 정부의 민생 안정 대책에 동참한다는 취지다.SK텔레콤은 만 19세 이상 3G/LTE/5G 고객에게 데이터 30GB를 무료로 제공한다. 30GB는 넷플릭스 유튜브 같은 주요 OTT서비스 내 HD급 고화질 동영상을 약 30시간 볼 수 있는 용량이다.SK텔레콤은 무료로 제공되는 데이터의 이용 방법 및 기준 등 세부 사항을 이달 내 T월드 홈페이지 등을 통해 자세히 안내할 계획이다. 트래픽 증가에,https://www.itbiznews.com//news/articleView.html?idxno=90433&page=6&total=2335,김소현,"#통신비,#모바일 데이터,#트래픽,#통신3사",https://www.cwn.kr./thumbnail/202302/90433_86075_1141_v150.jpg
118,"2023.02.15 18:24",ETRI 김포공항 순환도로서 5G 버스 와이파이 시연,한국전자통신연구원(ETRI)이 김포공항 순환도로에서 시내·고속버스 등 차량용 밀리미터파 5G 이동통신 기술을 이용하는 시연에 성공했다고 15일 전했다. 지난해 말 진행된 시연에서는 달리는 버스에서 700Mbps 속도의 와이파이와 AR기기를 통한 4K 스트리밍 서비스가 원활하게 구현됐다. 22GHz 대역 5G 밀리미터파 주파수를 활용해 버스와 지상의 기지국을 연결하는 이동 네트워크(MN) 기술에 대한 시연으로 이를 통해 ETRI 개발 기술이 버스 와이파이의 품질 속도 향상을 이뤄낼 수 있음이 증명됐다.이와 함께 ETRI는 기지국의,https://www.itbiznews.com//news/articleView.html?idxno=90327&page=6&total=2335,오현식,"#버스 와이파이,#ETRI,#한국전자통신연구원,#AR 스트리밍",https://www.cwn.kr./thumbnail/202302/90327_85953_2245_v150.jpg
119,"2023.02.13 09:55",넷앱 최신 업그레이드 보장 ‘넷앱 어드밴스’ 발표,넷앱이 새로운 스토리지 프로그램인 ‘넷앱 어드밴스’를 발표했다. 넷앱 어드밴스는 효율적인 비용으로 미래의 온프레미스 환경에 대비할 수 있도록 지원하는 개런티 포트폴리오다.넷앱은 지속적인 최신 기술 업그레이드를 지원하는 넷앱 어드밴스는 하드웨어의 지속적인 원활한 업그레이드를 제공해 항상 최신 기술을 유지할 수 있도록 지원한다고 소개했다.이를 통해 고객은 스토리지 라이프사이클을 발전시키는 동시에 복잡하고 비용과 시간이 많이 소요되는 리프레시 사이클을 방지할 수 있다는 게 사측 설명이다.산딥 싱 넷앱 엔터프라이즈 스토리지 수석부사장은 “,https://www.itbiznews.com//news/articleView.html?idxno=90036&page=6&total=2335,오현식,"#넷앱,#엔터프라이즈 스토리지,#스토리지,#넷앱 어드밴스",https://www.cwn.kr./thumbnail/202302/90036_85653_420_v150.jpg
120,"2023.02.13 09:31",SKT 에이닷 브레인 ‘타이탄’ HPC 용량 2배 업그레이드,SK텔레콤이 초거대 AI모델인 ‘에이닷’의 브레인 역할을 하고 있는 슈퍼컴퓨터(HPC)를 기존 대비 2배로 확대 구축했다고 밝혔다.수십억 개 이상의 매개변수를 다루는 초거대AI를 구동하기 위해서는 방대한 양의 데이터를 빠르고 정확하게 처리할 수 있는 HPC 인프라가 필수다. 13일 SK텔레콤에 따르면 자사가 운영하는 HPC(타이탄)을 엔비디아 A100 GPU 1040개로 증설했다. 이는 기존 대비 약 2배 이상 규모로 17.1 페타플롭(Petaflop) 이상의 성능을 지원한다. 1페타플롭은 1초에 1천조번 부동소수점(컴퓨터의 실,https://www.itbiznews.com//news/articleView.html?idxno=90063&page=6&total=2335,김소현,"#네트워크,#HPC,#AI/ML,#GPU가속기,#타이탄,#초거대AI,#에이닷,#SK텔레콤",https://www.cwn.kr./thumbnail/202302/90063_85680_5446_v150.jpg
121,"2023.02.10 10:34",SKT 6G 후보 주파수 대상 RIS 기술 개발,SK텔레콤이 동우화인켐과 연구협력을 통해 6G 후보 주파수에 대한 RIS(Reconfigurable Intelligent Surface) 기술 개발에 성공했다고 밝혔다.SK텔레콤은 이번 연구를 통해 건물 외장재로 많이 쓰이는 Low-E유리에 RIS를 적용 고주파 대역인 6G 후보 주파수를 통과시키는 기술을 세계 최초로 개발했다고 설명했다.Low-E유리는 뛰어난 단열 특성으로 건물 외장재로 많이 쓰이나 전파를 차단하는 특성도 갖고 있어 이동통신 주파수 전달에 불리했으나 이번 연구 성과로 빛과 전파는 투과하고 단열 성능은 그대로 유지,https://www.itbiznews.com//news/articleView.html?idxno=89959&page=7&total=2335,김소현,"#6G,#RF신호,#RIS기술,#어퍼-미드밴드,#서브테라대역,#동우화인켐,#SK텔레콤",https://www.cwn.kr./thumbnail/202302/89959_85568_50_v150.jpg
122,"2023.02.10 08:41",KT클라우드·HPE IDC 통합 인프라 사업 협력,KT클라우드가 HPE가 IDC 통합 인프라 사업 협력을 골자로 하는 업무협약을 체결했다. 양사는 이번 협약으로 공공기관과 기업의 IDC 통합 인프라 구현과 시장 확대에 적극적으로 협력을 전개할 예정이다.앙사는 이를 위해 인프라∙네트워크 솔루션 마케팅∙영업 역량을 결합한 서비스를 선보일 예정이다. 목표시장 선정과 상품 기획/개발/제안 공동 세미나를 비롯한 마케팅 영업·기술 지원 등 광범위한 협력으로 IDC 통합 인프라 시장 확산에 집중한다는 목표다.해외시장 공략을 위한 협력도 이어가 KT클라우드가 해외 데이터센터 구축∙운용 방,https://www.itbiznews.com//news/articleView.html?idxno=89906&page=7&total=2335,오현식,"#KT클라우드,#HPE",https://www.cwn.kr./thumbnail/202302/89906_85524_232_v150.jpg
