"news_date","news_title","news_text_sm","url_in","news_writer","tags_string","thumb_addr","news_site"
"2022.09.06 15:42","넵튠-카카오엔터테인먼트-컬러버스, 메타버스 사업·서비스 협력 맞손",넵튠은 카카오엔터테인먼트 컬러버스와 메타버스 사업·서비스에 대한 협력을 골자로 하는 업무협약(MOU)을 체결했다고 6일 밝혔다.이번 협약을 통해 오픈형 3D 메타버스 플랫폼 ‘컬러버스’와 카카오엔터테인먼트가 보유한 웹툰·웹소설·케이팝 관련 IP(지식재산권)를 연계해 활용할 수 있는 다양한 협력 방안을 모색한다.협약을 바탕으로 3사는 컬러버스를 활용해 메타버스 안에서 새로운 서비스를 제공하는 것에 대해 논의할 전망이다. 예를 들어 케이팝을 테마로 한 메타버스 월드나 주요 스토리 IP를 이용한 가상공간 서,https://www.epnc.co.kr/news/articleView.html?idxno=227521,조명의 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227521_228502_3532_v150.jpg,TechWorld
"2022.09.06 15:42","쿤텍, RTOS 솔루션 공급업체 시스고와 파트너십 체결",쿤텍는 임베디드 소프트웨어 개발의 효율성을 극대화하기 위해 임베디드 애플리케이션을 위한 실시간 운영체제(Real-Time Operating Systems RTOS) 솔루션 공급업체 시스고(SYSGO)와 파트너십을 체결했다고 6일 밝혔다.시스고의 파이크OS(PikeOS) 플랫폼은 안전한 환경에서 여러 가상머신을 동시에 실행할 수 있다. 또한 리눅스(Linux) 인증된 포직스(POSIX) ARINC 오섹(OSEK) 에이다(Ada) RT(Real-Time) Java 등을 포함해 시장에서 가장 광범위,https://www.epnc.co.kr/news/articleView.html?idxno=227517,조명의 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227517_228498_2453_v150.jpg,TechWorld
"2022.09.06 15:42","킨드릴, 가트너 데이터센터 아웃소싱 활용 사례 부문서 최고 점수 획득",킨드릴은 시장조사기관 가트너가 최근 발표한 ‘글로벌 데이터센터 아웃소싱(DCO) 및 하이브리드 인프라 관리 서비스(HIMS) 핵심 역량 보고서’에서 레거시 데이터센터 아웃소싱 활용 사례 부문 최고 점수(4.45점 5점 만점)를 획득했다고 6일 밝혔다. 가트너 보고서에 따르면 ‘데이터센터 아웃소싱 활용 사례’는 공급자가 메인프레임 서버·스토리지를 포함한 데이터센터 관련 IT 서비스를 고객에게 제공할 수 있는 역량으로 정의된다. 가트너가 선정한 데이터센터 아웃소싱 선두기업은 대용량 밉스(MIPS) 메인,https://www.epnc.co.kr/news/articleView.html?idxno=227530,조명의 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227530_228514_125_v150.jpg,TechWorld
"2022.09.06 15:42","효성인포메이션시스템, 부산·경남 고객 대상 데이터·인프라 혁신 전략 제시",효성인포메이션시스템이 9월 28일 부산에서 ‘데이터센터 현대화 컨퍼런스’를 개최하고 AI 플랫폼 데이터 레이크 클라우드 인프라 등 고객의 디지털 전환(DX) 지원을 위한 최신 전략과 솔루션을 소개한다고 6일 밝혔다. 효성인포메이션시스템은 부산·경남 지역 IT 업계 담당자들을 대상으로 매년 컨퍼런스를 개최하며 인프라 혁신 전략을 제시해왔다. 이번 컨퍼런스는 팬데믹 이후 3년 만에 오프라인으로 진행되며 고객·파트너사에게 비즈니스 경쟁력 향상을 위한 데이터·인프라 혁신 전략을 소개한다.이번 컨퍼런스에서,https://www.epnc.co.kr/news/articleView.html?idxno=227531,조명의 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227531_228515_2353_v150.jpg,TechWorld
"2022.09.06 14:29","한글과컴퓨터, 상반기 주주서한 발송",한글과컴퓨터가 2022년 상반기 주주서한을 발송했다고 6일 밝혔다.한컴은 지난해 11월 창립 이래 첫 주주서한을 발송하며 반기마다 주주들과 소통하겠다고 밝혔다. 실천 일환으로 두 번째 주주서한을 발송했다.주주서한에서는 고객 가치의 핵심 키워드를 ‘임파워링(Empowering)’으로 지목하고 클라우드 환경에서 고객의 니즈와 문제해결을 돕는 임파워링 파트너가 되겠다는 목표를 제시했다.하반기에는 클라우드·인공지능 기반 서비스 기업으로의 대전환을 예고했다. ▲인공지능 기반 문서SW의 확장 ▲글로벌 SaaS 기,https://www.epnc.co.kr/news/articleView.html?idxno=227501,이세정 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227501_228484_432_v150.jpg,TechWorld
"2022.09.06 09:55","슈나이더 일렉트릭, 유니버시티 앰버서더 LiOn 4기 프로그램 성",슈나이더 일렉트릭 코리아가 ‘유니버시티 앰버서더’ LiOn 4기 프로그램을 성황리에 마쳤다.슈나이더 일렉트릭 유니버시티 앰버서더 라이온(LiOn)은 한국 지사에서 기획 운영하는 프로그램으로. 미래 경제 성장을 이끌어 갈 Z세대 들에게 크리에이티브 역량 강화와 마케팅 업무 체험 기회에 초점을 두고 기획됐다.라이온(LiOn)은 슈나이더 일렉트릭의 브랜드 슬로건 ‘라이프 이즈 온’을 줄인 이름으로 우리 모두의 삶이 언제 어디서나 연결돼 있도록 하는(Life Is On) 에너지 관리 및 자동화 기술을 만들어,https://www.epnc.co.kr/news/articleView.html?idxno=227499,노태민 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227499_228482_5416_v150.jpg,TechWorld
"2022.09.05 16:37","테크빌교육-김영사, 초등수업공유 플랫폼 고도화 맞손",테크빌교육 티처빌원격교육연수원(이하 티처빌)이 공교육 초등교사 수업 지원 강화를 위해 김영사와 업무협약을 체결했다고 5일 밝혔다. 이번 협약으로 티처빌은 초등수업공유플랫폼 ‘클래스메이커’를 통해 김영사 검정교과서와 연계한 수업 콘텐츠를 이달부터 제공하기로 했다. 클래스메이커와 교과 콘텐츠 제휴 협약을 맺은 업체는 ▲금성 ▲YBM ▲교학사 ▲지학사 ▲대교 ▲김영사 총 6곳이다. 티처빌은 앞으로 수업 콘텐츠 제휴를 위한 출판사와의 업무협약을 확대하고 검정교과서 연계 교사 연수도 선보일 계획이다.클래스메이커는,https://www.epnc.co.kr/news/articleView.html?idxno=227477,조명의 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227477_228464_201_v150.jpg,TechWorld
"2022.09.05 16:37","지브라 테크놀로지스, 온실가스 감축 목표 SBTi 승인 획득",지브라 테크놀로지스(Zebra Technologies)는 자사가 설정한 온실가스 감축 목표가 ‘과학 기반 감축 목표 이니셔티브(Science Based Targets initiative 이하 SBTi)’의 검증을 통과했다고 5일 밝혔다.전 세계 1500개 이상의 기업이 참여하고 있는 SBTi는 탄소정보공개프로젝트(CDP) 유엔글로벌콤팩트(UNGC) 세계자원연구소(WRI) 세계자연기금(WWF)을 주축으로 구성돼 있다. SBTi는 본 이니셔티브를 통해 기업이 과학에 기반한 온실가스(GHG) 배출 목표,https://www.epnc.co.kr/news/articleView.html?idxno=227468,조명의 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227468_228455_3610_v150.jpg,TechWorld
"2022.09.05 16:37","웹케시, 통합연구비관리시스템 인하우스뱅크 ‘rERP 2.0’ 출시",웹케시가 산학협력단·연구기관 전용 통합연구비관리시스템 인하우스뱅크 ‘rERP 2.0’(이하 rERP)을 출시했다고 밝혔다.rERP는 연구관리 연구성과 지식재산권 회계 인사급여 등 산학협력단의 전반적인 업무를 하나의 시스템 관리할 수 있게 통합한 서비스다. 현재 100여 개의 산학협력단 ·연구기관이 rERP를 도입해 연구 업무에 대한 효율을 높이고 있다.rERP는 연구기관 시스템과의 연계를 통해 연구 담당자의 업무를 줄인다. 연구 담당자는 지출결의·증빙내역을 연구기관 시스템에 이중 등록할 필요 없이,https://www.epnc.co.kr/news/articleView.html?idxno=227471,조명의 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227471_228458_4130_v150.jpg,TechWorld
"2022.09.05 16:37","한국축산데이터, 한국마사회와 손잡고 말산업 디지털 대전환 앞장",한국축산데이터가 정보통신기술을 기반으로 한 디지털 축산 역량 강화와 말산업 발전을 위해 한국마사회와 업무협약(MOU)을 체결했다고 5일 밝혔다. 지난 2일 한국마사회에서 진행된 협약식에는 경노겸 한국축산데이터 대표 김기현 한국축산테크협회 사무총장 오순민 한국마사회 말산업본부장 경순구 한국마사회 말보건원장 등이 참석했다.이 자리에서 양측은 ▲인공지능기술(AI) 등 정보통신기술(ICT) 활용 마방 구축 등 말 산업 선진화 ▲말 생산 농가의 스마트팜 구축 등 공동 사업 추진 ▲정부·지방자치단체 과제 공동,https://www.epnc.co.kr/news/articleView.html?idxno=227479,조명의 기자,,https://cdn.epnc.co.kr/news/thumbnail/202209/227479_228466_2432_v150.jpg,TechWorld
