,words,ranks
0,ai,66.11825509665357
1,클라우드,48.612043644720394
2,기업,41.06719038674043
3,서비스,36.7890228154074
4,솔루션,31.132579710081025
5,데이터,28.378802166392365
6,플랫폼,25.97665220610903
7,디지털,20.482773549892652
8,보안,20.227921680809377
9,개발,19.906188435411053
10,글로벌,19.547698633995832
11,출시,19.388115153512437
12,사업,18.066053032423895
13,국내,16.603155979910554
14,전문,15.301699972206448
15,체결,15.284019811573513
16,시장,12.516734226985713
17,지원,12.42190331460217
18,선정,12.16969960577572
19,프로,12.055559506838936
20,구축,11.667085596926281
21,고객,11.409744326318283
22,시스템,11.123434257325874
23,업무,10.854937823455057
24,발표,10.689715445739811
25,운영,10.16972726442172
26,한국,10.102886482806353
27,it,9.662806445212762
28,제품,9.205208843992905
29,산업,9.080455059452042
30,메타,8.998870813636985
31,대표,8.95467942792062
32,서울,8.552708628406958
33,비즈니스,8.476337611846791
34,인공,8.28053486541946
35,진행,8.23588496851976
36,분석,8.195524634957522
37,개최,8.03249488345297
38,소프트,8.008292511278933
39,인증,7.981675461705844
40,파트너,7.970047220461328
41,공급,7.959953459379869
42,스마트,7.830543962094184
43,분야,7.794947012235166
44,연구,7.756358048225831
45,로봇,7.749594341644894
46,혁신,7.662567320803901
47,통합,7.661505534556868
48,스타트업,7.440345735878318
49,협력,7.402384867379311
50,자사,7.357190029460361
51,기능,7.347581468772605
52,투자,7.110148797453083
53,공개,6.988143570994505
54,교육,6.640794658535042
55,환경,6.608109208786158
56,자동,6.490319034711006
57,획득,6.278975405919371
58,인프라,6.1338122446624315
59,정보,6.129361261663048
60,기존,6.0766131765203015
61,공공,6.076142993395972
62,콘텐츠,5.999980158609789
63,확대,5.966329327820144
64,강화,5.89198386401724
65,온라인,5.805922291807439
66,오픈,5.729169239078382
67,금융,5.68878874738858
68,코리아,5.466494370701464
69,구글,5.450063037615617
70,확장,5.427668112611826
71,영상,5.196205873496199
72,모델,5.173901741721058
73,3d,5.082004507636102
74,추진,4.984428388302021
75,kt,4.92498135753214
76,참가,4.920029628544563
77,mo,4.908660096274506
78,nft,4.874418596231501
79,차세대,4.860900723512062
80,6월,4.845274206072357
81,성장,4.836496229561997
82,가상,4.8101356626281495
83,신규,4.648360218662601
84,인텔,4.578077360576752
85,적용,4.569930915285967
86,오라클,4.516004087204169
87,마이,4.5139331619419645
88,가능,4.512063788911425
89,가트너,4.466566460226745
90,버추얼,4.455439496665355
91,애플리케이션,4.446297049481763
92,digital,4.43480585705998
93,의료,4.432447806723409
94,공식,4.419645449582546
95,software,4.238796838606723
96,aws,4.162659593643087
97,전략,4.094209478115735
98,일렉트릭,4.081403828485526
99,11,4.02937621977477
