news_date,news_title,news_text_sm,url_in,news_writer,tags_string,thumb_addr
2018.01.08 14:44,HOTEL여기어때 동대구에 10번째 가맹점 오픈,[IT비즈뉴스 한지선 기자] 여기어때의 호텔 프랜차이즈 브랜드 &#39;HOTEL여기어때&#39;가 10번째 가맹점 동대구점을 오픈한다. 현재 HOTEL여기어때는 총 30곳(계약 기준)의 가맹호텔을 확보한 상태다.'허브 앤 스포크(hub-and-spoke 거점 기반의 외연 확대) 출점 전략을 활용하는 HOTEL여기어때는 10호점을 대구,https://www.itbiznews.com//news/articleView.html?idxno=6334&page=73&total=2335,한지선,,
2018.01.08 11:07,앱에이프 한국 iOS 데이터 제공 시작한다,[IT비즈뉴스 한지선 기자] 모바일 시장 분석 서비스 앱에이프(App Ape)가 기존 한국 안드로이드 데이터에 추가해 iOS 데이터도 제공을 시작 대대적인 업데이트를 단행했다.앱에이프는 2013년 일본에서 출시한 모바일 시장 분석 서비스로 출시된 대부분의 앱 이용 데이터를 확인할 수 있는 서비스다. 일본,https://www.itbiznews.com//news/articleView.html?idxno=6329&page=73&total=2335,한지선,,
2018.01.08 10:48,LGU  용산사옥에 5G 체험관 오픈.. 6대 전략 서비스 공개,[IT비즈뉴스 한지선 기자] LG유플러스가 지난 7일 5G 서비스 상용화를 앞두고 용산사옥 1층 5G 체험관에서 원격제어 드라이브 지능형 CCTV 5G 생중계 8K VR 5G 생중계 스마트 드론 FWA(UHD 무선 IPTV) 등 6대 5G 핵심 서비스를 선보였다.LG유플러스는 5G용 주파수를 부여 받는 올해 하반기부터 5G 네트워크 구축,https://www.itbiznews.com//news/articleView.html?idxno=6326&page=73&total=2335,한지선,,https://www.cwn.kr./thumbnail/201801/6326_5418_1048_v150.jpg
2018.01.08 10:38,LGU  ‘U봇’ 이용자 12만명 돌파 ‘인기몰이’,[IT비즈뉴스 김진수 기자] LG유플러스가 인공지능(AI) 기반의 상담 서비스 'U봇'의 이용자가 2주 만에 12만명을 돌파했다고 8일 밝혔다.자연어 인식이 가능한 대화형 채팅 로봇(챗봇) 'U봇'은 출시 13일 만에 누적 이용자 12만명 상담 건수 15만을 기록했다. 일평균 1만500여건의 고객 상담을 소화하며 이,https://www.itbiznews.com//news/articleView.html?idxno=6323&page=73&total=2335,김진수,,https://www.cwn.kr./thumbnail/201801/6323_5416_1038_v150.jpg
2018.01.08 10:31,1월 1주차 트위터상 화제의 키워드는?,[IT비즈뉴스 한지선 기자] 트위터가 다음소프트와 함께 지난 한 주 간(1월1일~1월5일) 트위터상에서 가장 이슈가 된 주요 키워드 중 주목할 만한 단어를 분석해 발표했다.먼저 각 언론사에서 발표하는 신년 여론조사 결과가 트위터에서도 화제가 되고 있다. 많은 트위터 이용자들이 각 언론사의 여론조,https://www.itbiznews.com//news/articleView.html?idxno=6322&page=73&total=2335,한지선,,https://www.cwn.kr./thumbnail/201801/6322_5415_1031_v150.jpg
2018.01.08 10:26,약국 찾기 앱 ‘포켓닥터’ 100만 다운로드 돌파,[IT비즈뉴스 한지선 기자] 병원 약국 동물병원 통합 검색 애플리케이션(이하 앱) '포켓닥터'가 누적 다운로드 100만건을 돌파했다.포켓닥터는 출시 이후 이용자 편의 향상을 위해 다양한 신규 서비스 도입과 지속적인 업데이트를 진행해 왔다. 작년 11월에는 대규모 리뉴얼을 통해 사용자 친화적인 UI,https://www.itbiznews.com//news/articleView.html?idxno=6321&page=73&total=2335,한지선,,https://www.cwn.kr./thumbnail/201801/6321_5414_1026_v150.jpg
2018.01.06 16:01,네이버 유기-실종동물 정보 검색 결과에 반영,[IT비즈뉴스 김진수 기자] 네이버가 실종된 반려동물을 찾거나 유기동물 입양을 고려중인 이용자들을 지원하고자 동물보호센터의 유기 및 실종동물 정보를 검색결과에 반영한다고 밝혔다.네이버는 동물보호관리시스템의 데이터를 기반으로 네이버 검색 결과에서 지방자치단체와 유기동물 보호시설,https://www.itbiznews.com//news/articleView.html?idxno=6317&page=73&total=2335,김진수,,https://www.cwn.kr./thumbnail/201801/6317_5411_1601_v150.jpg
2018.01.05 11:43,모바일 환경에 최적화 KT '엠스토리지' 서비스 출시,[IT비즈뉴스 김진수 기자] KT가 개인용 유클라우드 서비스 종료에 앞서 모바일에서 클라우드 서비스를 손쉽게 이용할 수 있는 클라우드 서비스 '엠스토리지(mstorage)'를 출시한다.1월15일부터 서비스를 시작하는 엠스토리지는 기존 KT가 제공한 개인용 클라우드 서비스인 '유클라우드' 대비 모바일 중,https://www.itbiznews.com//news/articleView.html?idxno=6304&page=73&total=2335,김진수,,https://www.cwn.kr./thumbnail/201801/6304_5394_1143_v150.jpg
2018.01.04 23:53,ETRI 통신수준 향상 '기술 BMT' 기술 검증 완료,[IT비즈뉴스 최태우 기자] 국내 연구진이 지하철에서 1Gbps급 데이터 전송이 가능한 모바일 핫스팟 네트워크(MHN) 기술을 개발에 성공했다.한국전자통신연구원(ETRI)은 서울지하철 통신수준 향상사업을 위한 MHN 기술을 활용한 BMT(Bench Mark Test)에 지난해 말 통과했다고 밝혔다.서울지하철에 기가 와이파,https://www.itbiznews.com//news/articleView.html?idxno=6292&page=73&total=2335,최태우,,https://www.cwn.kr./thumbnail/201801/6292_5384_2353_v150.jpg
2018.01.04 15:15,삼성-버라이즌 5G '고정형 무선엑세스(FWA)' 공급 계약 체결,[IT비즈뉴스 최태우 기자] 삼성전자가 미국 이동통신사업자 &#39;버라이즌&#39;과 5G 기술을 활용한 고정형 무선엑세스(FWA) 서비스 통신장비 공급 계약을 체결했다.이번 계약체결을 통해 삼성전자는 버라이즌 자체 통신규격인 5G기술포럼(5GTF) 기반의 통신장비 가정용 단말기(CPE) 네트워크 설계 서비스,https://www.itbiznews.com//news/articleView.html?idxno=6288&page=73&total=2335,최태우,,
